Year	Month	Date	Anomoly_Celcius
1927	5	1927-05-01	-.26
1927	6	1927-06-01	-.28
1927	7	1927-07-01	-.19
1927	8	1927-08-01	-.24
1927	9	1927-09-01	-.12
1927	10	1927-10-01	-.01
1927	11	1927-11-01	-.06
1927	12	1927-12-01	-.33
1928	1	1928-01-01	-.02
1928	2	1928-02-01	-.09
1928	3	1928-03-01	-.25
1928	4	1928-04-01	-.28
1928	5	1928-05-01	-.30
1928	6	1928-06-01	-.39
1928	7	1928-07-01	-.20
1928	8	1928-08-01	-.23
1928	9	1928-09-01	-.21
1928	10	1928-10-01	-.19
1928	11	1928-11-01	-.09
1928	12	1928-12-01	-.16
1929	1	1929-01-01	-.45
1929	2	1929-02-01	-.58
1929	3	1929-03-01	-.32
1929	4	1929-04-01	-.41
1929	5	1929-05-01	-.38
1929	6	1929-06-01	-.43
1929	7	1929-07-01	-.37
1929	8	1929-08-01	-.33
1929	9	1929-09-01	-.25
1929	10	1929-10-01	-.15
1929	11	1929-11-01	-.12
1929	12	1929-12-01	-.54
1930	1	1930-01-01	-.30
1930	2	1930-02-01	-.26
1930	3	1930-03-01	-.10
1930	4	1930-04-01	-.25
1930	5	1930-05-01	-.24
1930	6	1930-06-01	-.22
1930	7	1930-07-01	-.21
1930	8	1930-08-01	-.15
1930	9	1930-09-01	-.16
1930	10	1930-10-01	-.12
1930	11	1930-11-01	.17
1930	12	1930-12-01	-.05
1931	1	1931-01-01	-.10
1931	2	1931-02-01	-.20
1931	3	1931-03-01	-.10
1931	4	1931-04-01	-.23
1931	5	1931-05-01	-.19
1931	6	1931-06-01	-.08
1931	7	1931-07-01	-.03
1931	8	1931-08-01	-.04
1931	9	1931-09-01	-.06
1931	10	1931-10-01	.06
1931	11	1931-11-01	-.06
1931	12	1931-12-01	-.05
1932	1	1932-01-01	.15
1932	2	1932-02-01	-.17
1932	3	1932-03-01	-.18
1932	4	1932-04-01	-.06
1932	5	1932-05-01	-.17
1932	6	1932-06-01	-.29
1932	7	1932-07-01	-.25
1932	8	1932-08-01	-.22
1932	9	1932-09-01	-.10
1932	10	1932-10-01	-.09
1932	11	1932-11-01	-.27
1932	12	1932-12-01	-.26
1933	1	1933-01-01	-.23
1933	2	1933-02-01	-.29
1933	3	1933-03-01	-.29
1933	4	1933-04-01	-.24
1933	5	1933-05-01	-.29
1933	6	1933-06-01	-.34
1933	7	1933-07-01	-.21
1933	8	1933-08-01	-.24
1933	9	1933-09-01	-.29
1933	10	1933-10-01	-.25
1933	11	1933-11-01	-.30
1933	12	1933-12-01	-.44
1934	1	1934-01-01	-.21
1934	2	1934-02-01	-.02
